,Symbol,Security,GICS Sector,Headquarters Location
144,DVN,Devon Energy,Energy,"Oklahoma City, Oklahoma"
145,DXCM,DexCom,Health Care,"San Diego, California"
146,FANG,Diamondback Energy,Energy,"Midland, Texas"
147,DLR,Digital Realty Trust,Real Estate,"Austin, Texas"
148,DFS,Discover Financial Services,Financials,"Riverwoods, Illinois"
149,DISCA,Discovery (Series A),Communication Services,"New York City, New York"
150,DISCK,Discovery (Series C),Communication Services,"New York City, New York"
151,DISH,Dish Network,Communication Services,"Meridian, Colorado"
152,DG,Dollar General,Consumer Discretionary,"Goodlettsville, Tennessee"
153,DLTR,Dollar Tree,Consumer Discretionary,"Chesapeake, Virginia"
154,D,Dominion Energy,Utilities,"Richmond, Virginia"
155,DPZ,Domino's Pizza,Consumer Discretionary,"Ann Arbor, Michigan"
156,DOV,Dover Corporation,Industrials,"Downers Grove, Illinois"
157,DOW,Dow,Materials,"Midland, Michigan"
158,DTE,DTE Energy,Utilities,"Detroit, Michigan"
159,DUK,Duke Energy,Utilities,"Charlotte, North Carolina"
160,DRE,Duke Realty Corp,Real Estate,"Indianapolis, Indiana"
161,DD,DuPont,Materials,"Wilmington, Delaware"
162,DXC,DXC Technology,Information Technology,"Tysons Corner, Virginia"
163,EMN,Eastman Chemical,Materials,"Kingsport, Tennessee"
164,ETN,Eaton Corporation,Industrials,"Dublin, Ireland"
165,EBAY,eBay,Consumer Discretionary,"San Jose, California"
166,ECL,Ecolab,Materials,"Saint Paul, Minnesota"
167,EIX,Edison International,Utilities,"Rosemead, California"
168,EW,Edwards Lifesciences,Health Care,"Irvine, California"
169,EA,Electronic Arts,Communication Services,"Redwood City, California"
170,EMR,Emerson Electric,Industrials,"Ferguson, Missouri"
171,ENPH,Enphase Energy,Information Technology,"Fremont, California"
172,ETR,Entergy,Utilities,"New Orleans, Louisiana"
173,EOG,EOG Resources,Energy,"Houston, Texas"
174,EFX,Equifax,Industrials,"Atlanta, Georgia"
175,EQIX,Equinix,Real Estate,"Redwood City, California"
176,EQR,Equity Residential,Real Estate,"Chicago, Illinois"
177,ESS,Essex Property Trust,Real Estate,"San Mateo, California"
178,EL,Estée Lauder Companies,Consumer Staples,"New York City, New York"
179,ETSY,Etsy,Consumer Discretionary,"New York City, New York"
180,EVRG,Evergy,Utilities,"Kansas City, Missouri"
181,ES,Eversource Energy,Utilities,"Hartford, Connecticut"
182,RE,Everest Re,Financials,"Hamilton, Bermuda"
183,EXC,Exelon,Utilities,"Chicago, Illinois"
184,EXPE,Expedia Group,Consumer Discretionary,"Seattle, Washington"
185,EXPD,Expeditors,Industrials,"Seattle, Washington"
186,EXR,Extra Space Storage,Real Estate,"Salt Lake City, Utah"
187,XOM,ExxonMobil,Energy,"Irving, Texas"
188,FFIV,F5,Information Technology,"Seattle, Washington"
189,FAST,Fastenal,Industrials,"Winona, Minnesota"
190,FRT,Federal Realty Investment Trust,Real Estate,"Rockville, Maryland"
191,FDX,FedEx,Industrials,"Memphis, Tennessee"
192,FIS,Fidelity National Information Services,Information Technology,"Jacksonville, Florida"
193,FITB,Fifth Third Bancorp,Financials,"Cincinnati, Ohio"
194,FE,FirstEnergy,Utilities,"Akron, Ohio"
195,FRC,First Republic Bank,Financials,"San Francisco, California"
196,FISV,Fiserv,Information Technology,"Brookfield, Wisconsin"
197,FLT,Fleetcor,Information Technology,"Norcross, Georgia"
198,FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania"
199,F,Ford,Consumer Discretionary,"Dearborn, Michigan"
200,FTNT,Fortinet,Information Technology,"Sunnyvale, California"
201,FTV,Fortive,Industrials,"Everett, Washington"
202,FBHS,Fortune Brands Home & Security,Industrials,"Deerfield, Illinois"
203,FOXA,Fox Corporation (Class A),Communication Services,"New York City, New York"
204,FOX,Fox Corporation (Class B),Communication Services,"New York City, New York"
205,BEN,Franklin Resources,Financials,"San Mateo, California"
206,FCX,Freeport-McMoRan,Materials,"Phoenix, Arizona"
207,GPS,Gap,Consumer Discretionary,"San Francisco, California"
208,GRMN,Garmin,Consumer Discretionary,"Schaffhausen, Switzerland"
209,IT,Gartner,Information Technology,"Stamford, Connecticut"
210,GNRC,Generac Holdings,Industrials,"Waukesha, Wisconsin"
211,GD,General Dynamics,Industrials,"Falls Church, Virginia"
212,GE,General Electric,Industrials,"Boston, Massachusetts"
213,GIS,General Mills,Consumer Staples,"Golden Valley, Minnesota"
214,GM,General Motors,Consumer Discretionary,"Detroit, Michigan"
215,GPC,Genuine Parts,Consumer Discretionary,"Atlanta, Georgia"
216,GILD,Gilead Sciences,Health Care,"Foster City, California"
217,GL,Globe Life,Financials,"McKinney, Texas"
218,GPN,Global Payments,Information Technology,"Atlanta, Georgia"
219,GS,Goldman Sachs,Financials,"New York City, New York"
220,GWW,W. W. Grainger,Industrials,"Lake Forest, Illinois"
221,HAL,Halliburton,Energy,"Houston, Texas"
222,HBI,Hanesbrands,Consumer Discretionary,"Winston-Salem, North Carolina"
223,HIG,The Hartford,Financials,"Hartford, Connecticut"
224,HAS,Hasbro,Consumer Discretionary,"Pawtucket, Rhode Island"
225,HCA,HCA Healthcare,Health Care,"Nashville, Tennessee"
226,PEAK,Healthpeak Properties,Real Estate,"Long Beach, California"
227,HSIC,Henry Schein,Health Care,"Melville, New York"
228,HSY,The Hershey Company,Consumer Staples,"Hershey, Pennsylvania"
229,HES,Hess Corporation,Energy,"New York City, New York"
230,HPE,Hewlett Packard Enterprise,Information Technology,"Houston, Texas"
231,HLT,Hilton Worldwide,Consumer Discretionary,"Tysons Corner, Virginia"
232,HOLX,Hologic,Health Care,"Marlborough, Massachusetts"
233,HD,Home Depot,Consumer Discretionary,"Atlanta, Georgia"
234,HON,Honeywell,Industrials,"Charlotte, North Carolina"
235,HRL,Hormel,Consumer Staples,"Austin, Minnesota"
236,HST,Host Hotels & Resorts,Real Estate,"Bethesda, Maryland"
237,HWM,Howmet Aerospace,Industrials,"Pittsburgh, Pennsylvania"
238,HPQ,HP,Information Technology,"Palo Alto, California"
239,HUM,Humana,Health Care,"Louisville, Kentucky"
240,HBAN,Huntington Bancshares,Financials,"Columbus, Ohio; Detroit, Michigan"
241,HII,Huntington Ingalls Industries,Industrials,"Newport News, Virginia"
242,IEX,IDEX Corporation,Industrials,"Lake Forest, Illinois"
243,IDXX,Idexx Laboratories,Health Care,"Westbrook, Maine"
244,INFO,IHS Markit,Industrials,"London, England"
245,ITW,Illinois Tool Works,Industrials,"Glenview, Illinois"
246,ILMN,Illumina,Health Care,"San Diego, California"
247,INCY,Incyte,Health Care,"Wilmington, Delaware"
248,IR,Ingersoll Rand,Industrials,"Milwaukee, Wisconsin"
249,INTC,Intel,Information Technology,"Santa Clara, California"
250,ICE,Intercontinental Exchange,Financials,"Atlanta, Georgia"
251,IBM,IBM,Information Technology,"Armonk, New York"
252,IP,International Paper,Materials,"Memphis, Tennessee"
253,IPG,Interpublic Group,Communication Services,"New York City, New York"
254,IFF,International Flavors & Fragrances,Materials,"New York City, New York"
255,INTU,Intuit,Information Technology,"Mountain View, California"
256,ISRG,Intuitive Surgical,Health Care,"Sunnyvale, California"
257,IVZ,Invesco,Financials,"Atlanta, Georgia"
258,IPGP,IPG Photonics,Information Technology,"Oxford, Massachusetts"
259,IQV,IQVIA,Health Care,"Durham, North Carolina"
260,IRM,Iron Mountain,Real Estate,"Boston, Massachusetts"
261,JKHY,Jack Henry & Associates,Information Technology,"Monett, Missouri"
262,J,Jacobs Engineering Group,Industrials,"Dallas, Texas"
263,JBHT,J. B. Hunt,Industrials,"Lowell, Arkansas"
264,SJM,JM Smucker,Consumer Staples,"Orrville, Ohio"
265,JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey"
266,JCI,Johnson Controls,Industrials,"Cork, Ireland"
267,JPM,JPMorgan Chase,Financials,"New York City, New York"
268,JNPR,Juniper Networks,Information Technology,"Sunnyvale, California"
269,KSU,Kansas City Southern,Industrials,"Kansas City, Missouri"
270,K,Kellogg's,Consumer Staples,"Battle Creek, Michigan"
271,KEY,KeyCorp,Financials,"Cleveland, Ohio"
272,KEYS,Keysight Technologies,Information Technology,"Santa Rosa, California"
273,KMB,Kimberly-Clark,Consumer Staples,"Irving, Texas"
274,KIM,Kimco Realty,Real Estate,"New Hyde Park, New York"
275,KMI,Kinder Morgan,Energy,"Houston, Texas"
276,KLAC,KLA Corporation,Information Technology,"Milpitas, California"
277,KHC,Kraft Heinz,Consumer Staples,"Chicago, Illinois; Pittsburgh, Pennsylvania"
278,KR,Kroger,Consumer Staples,"Cincinnati, Ohio"
279,LHX,L3Harris Technologies,Industrials,"Melbourne, Florida"
280,LH,LabCorp,Health Care,"Burlington, North Carolina"
281,LRCX,Lam Research,Information Technology,"Fremont, California"
282,LW,Lamb Weston,Consumer Staples,"Eagle, Idaho"
283,LVS,Las Vegas Sands,Consumer Discretionary,"Las Vegas, Nevada"
284,LEG,Leggett & Platt,Consumer Discretionary,"Carthage, Missouri"
285,LDOS,Leidos,Industrials,"Reston, Virginia"
286,LEN,Lennar,Consumer Discretionary,"Miami, Florida"
287,LLY,Eli Lilly,Health Care,"Indianapolis, Indiana"
288,LNC,Lincoln National,Financials,"Radnor, Pennsylvania"
289,LIN,Linde,Materials,"Guildford, England"
290,LYV,Live Nation Entertainment,Communication Services,"Beverly Hills, California"
291,LKQ,LKQ Corporation,Consumer Discretionary,"Chicago, Illinois"
292,LMT,Lockheed Martin,Industrials,"Bethesda, Maryland"
293,L,Loews Corporation,Financials,"New York City, New York"
294,LOW,Lowe's,Consumer Discretionary,"Mooresville, North Carolina"
295,LUMN,Lumen Technologies,Communication Services,"Monroe, Louisiana"
296,LYB,LyondellBasell,Materials,"Rotterdam, Netherlands"
297,MTB,M&T Bank,Financials,"Buffalo, New York"
298,MRO,Marathon Oil,Energy,"Houston, Texas"
299,MPC,Marathon Petroleum,Energy,"Findlay, Ohio"
300,MKTX,MarketAxess,Financials,"New York City, New York"
301,MAR,Marriott International,Consumer Discretionary,"Bethesda, Maryland"
302,MMC,Marsh & McLennan,Financials,"New York City, New York"
303,MLM,Martin Marietta Materials,Materials,"Raleigh, North Carolina"
304,MAS,Masco,Industrials,"Livonia, Michigan"
305,MA,Mastercard,Information Technology,"Harrison, New York"
306,MTCH,Match Group,Communication Services,"Dallas, Texas"
307,MKC,McCormick & Company,Consumer Staples,"Hunt Valley, Maryland"
308,MCD,McDonald's,Consumer Discretionary,"Chicago, Illinois"
309,MCK,McKesson Corporation,Health Care,"Irving, Texas"
310,MDT,Medtronic,Health Care,"Dublin, Ireland"
311,MRK,Merck,Health Care,"Kenilworth, New Jersey"
312,FB,Meta Platforms,Communication Services,"Menlo Park, California"
313,MET,MetLife,Financials,"New York City, New York"
314,MTD,Mettler Toledo,Health Care,"Columbus, Ohio"
315,MGM,MGM Resorts International,Consumer Discretionary,"Paradise, Nevada"
316,MCHP,Microchip Technology,Information Technology,"Chandler, Arizona"
317,MU,Micron Technology,Information Technology,"Boise, Idaho"
318,MSFT,Microsoft,Information Technology,"Redmond, Washington"
319,MAA,Mid-America Apartments,Real Estate,"Memphis, Tennessee"
320,MRNA,Moderna,Health Care,"Cambridge, Massachusetts"
321,MHK,Mohawk Industries,Consumer Discretionary,"Calhoun, Georgia"
322,TAP,Molson Coors,Consumer Staples,"Chicago, Illinois"
323,MDLZ,Mondelez International,Consumer Staples,"Chicago, Illinois"
324,MPWR,Monolithic Power Systems,Information Technology,"Kirkland, Washington"
325,MNST,Monster Beverage,Consumer Staples,"Corona, California"
326,MCO,Moody's,Financials,"New York City, New York"
327,MS,Morgan Stanley,Financials,"New York City, New York"
328,MOS,The Mosaic Company,Materials,"Tampa, Florida"
